詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名,又唸作,合音唸作,俗唸作,語音差異,詞彙比較,名,姓,異用字,詞目tuì詞目近義,詞目tuì詞目反義,解說,詞性,例句,例句-華語,例句-音檔,義項tuì義項近義,義項tuì義項反義,義項tuì詞目近義,義項tuì詞目反義
7701,主詞目,符咒,hû-tsiù,相關器具、活動,7701(1),,,,,,,,,,,1. (名詞) 道家用來驅除鬼神的符文和咒語。,1. 名詞,,,,,,,
7702,主詞目,祭孤,tsè-koo,"飲食行為,相關器具、活動",7702(1),,,,,,,,,孝孤/祭孤魯,,"1. (動詞) 祭祀無主的孤魂野鬼。
2. (動詞) 吃、祭五臟廟。是一種比較粗魯的說法。
3. (動詞) 喻難看、見不得人。","1. 動詞
2. 動詞
3. 動詞","2. 這款物件敢會當祭孤？ (Tsit khuán mi̍h-kiānn kám ē-tàng tsè-koo?)
3. 按呢敢會祭孤得？ (Án-ne kám ē-tsè-koo--tit?)","2. 這種東西能吃嗎？
3. 這樣能見人嗎？","2. 7702-2-1
3. 7702-3-1",,,,
7703,主詞目,祭祀,tsè-sū,相關器具、活動,7703(1),,,,,,,,,,,1. (動詞) 敬拜鬼神和祖先。,1. 動詞,1. 祭祀公業 (tsè-sū kong-gia̍p),1. 祭祀公業,1. 7703-1-1,,,,
7704,主詞目,窒倒街,that-tó-ke/that-tó-kue,性質、程度,7704(1),,,,,,,,窒倒街/窒倒街,,,1. (動詞) 到處都有、充斥四處。貨物多到把整條街塞得滿滿的，用來比喻東西非常多。,1. 動詞,"1. 這種𨑨迌物仔外面窒倒街，免驚無地買。 (Tsit tsióng tshit-thô-mih-á guā-bīn that-tó-ke, bián kiann bô-tè bé.)",1. 這種玩具外面到處都是，不用怕買不到。,1. 7704-1-1,1. 滿四界/規山坪/規山坪,1. 無半絲/無半項,1. 規大堆,
7705,主詞目,祭祖,tsè-tsóo,相關器具、活動,7705(1),,,,,,,,,,,1. (動詞) 祭祀祖先。,1. 動詞,1. 清明的時陣阮兜攏會祭祖。 (Tshing-bîng ê sî-tsūn guán tau lóng ē tsè-tsóo.),1. 清明的時候我家都會祭祀祖先。,1. 7705-1-1,,,,
7706,主詞目,移動,î-tōng,,7706(1),,,,,,,,,,,1. (動詞) 改變原來的位置或方向。,1. 動詞,,,,1. 振動,,,
7707,主詞目,窒喙空,that-tshuì-khang,,7707(1),,,,,,,,窒喙空/窒喙空/窒喙空,封喙,,"1. (動詞) 果腹。
2. (動詞) 收買使人不說話。","1. 動詞
2. 動詞","1. 腹肚枵到地矣，看著啥物會食得的物件攏提來窒喙空。 (Pak-tóo-iau--kàu-tè--ah, khuànn-tio̍h siánn-mih ē-tsia̍h--tit ê mi̍h-kiānn lóng the̍h-lâi that-tshuì-khang.)
2. 用錢共伊窒喙空。 (Iōng tsînn kā i that-tshuì-khang.)","1. 肚子餓扁了，看到什麼可吃的都拿來果腹。
2. 用錢收買他，要他別說出來。","1. 7707-1-1
2. 7707-2-1",2. 封喙,,,
7708,主詞目,竟然,kìng-jiân/kìng-liân,副詞,7708(1),,,,,,,,,,,1. (副詞) 居然。與原先設想的事實有所出入的。,1. 副詞,1. 你竟然敢毋聽我的話。 (Lí kìng-jiân kánn m̄ thiann guá ê uē.),1. 你居然敢不聽我的話。,1. 7708-1-1,,,,
7709,主詞目,章程,tsiong-thîng,事、物泛稱,7709(1),"[{""漢字"": ""章程"", ""羅馬字"": ""tsiong-tîng""}]",,,,,,,,,,1. (名詞) 分段條列的法則、規定。,1. 名詞,1. 組織章程 (tsoo-tsit tsiong-thîng),1. 組織章程,1. 7709-1-1,,,,
7710,主詞目,符號,hû-hō,語言、文字、符號,7710(1),,,,,,,,,,,1. (名詞) 含特別意義以供辨識的記號。,1. 名詞,,,,1. 信號,,,
7711,主詞目,硫磺,liû-hông,資源礦物,7711(1),,,,,,,,,磺,,1. (名詞) 一種非金屬元素，呈黃色固體。性烈易燃，為製造火柴、火藥的原料，亦可用來製作許多工業原料和藥品，用途甚廣。,1. 名詞,,,,,,,
7712,主詞目,祭獻,tsè-hiàn,相關器具、活動,7712(1),,,,,,,,,,,1. (動詞) 供奉物品以祭祀神靈。,1. 動詞,,,,,,,
7713,主詞目,粒,lia̍p,數詞、量詞,7713(1),,,,,,,,,,,"1. (名詞) 細小的顆粒狀的物品。
2. (名詞) 湯菜裡頭的食材。
3. (量詞) 計算顆粒狀物品的單位。
4. (形容詞) 煮飯時水份不夠，飯的口感較硬。
5. (名詞) 膿瘡。","1. 名詞
2. 名詞
3. 量詞
4. 形容詞
5. 名詞","1. 飯粒 (pn̄g-lia̍p)
2. 共粒𣁳起來，湯莫啉。 (Kā lia̍p khat--khí-lâi, thng mài lim.)
3. 一粒石頭 (tsi̍t lia̍p tsio̍h-thâu)
4. 今仔日的飯有較粒。 (Kin-á-ji̍t ê pn̄g ū khah lia̍p.)
5. 粒仔 (lia̍p-á)","1. 飯粒
2. 把湯料舀起來，湯不要喝。
3. 一粒石頭
4. 今天的飯稍微硬了點。
5. 皮膚上的膿瘡","1. 7713-1-1
2. 7713-2-1
3. 7713-3-1
4. 7713-4-1
5. 7713-5-1",3. 鈕,,,4. 𩚨
7714,主詞目,粕,phoh(白),食物、飲料、煙酒,7714(1),,,,"鹿港偏泉腔：phoh
三峽偏泉腔：phoh
臺北偏泉腔：phoh
宜蘭偏漳腔：phoh
臺南混合腔：phorh
高雄混合腔：phorh
金門偏泉腔：phoh
馬公偏泉腔：phoh
新竹偏泉腔：phoh
臺中偏漳腔：phoh",,,,,,,1. (名詞) 指物體被壓榨過後，失去水分的殘渣。,1. 名詞,1. 甘蔗粕 (kam-tsià-phoh),1. 已被榨過汁的甘蔗渣,1. 7714-1-1,,,,
7715,主詞目,粗,tshoo,"氣質態度,形貌、體積",7715(1),,,,,,,,,,,"1. (形容詞) 不精緻的。
2. (形容詞) 不平滑的。
3. (形容詞) 粗魯、不文雅。
4. (形容詞) 巨大而且雄厚。","1. 形容詞
2. 形容詞
3. 形容詞
4. 形容詞","1. 粗菜 (tshoo-tshài)
2. 我的皮膚真粗。 (Guá ê phuê-hu tsin tshoo.)
3. 囡仔人講話毋通遐爾粗。 (Gín-á-lâng kóng-uē m̄-thang hiah-nī tshoo.)
4. 本錢真粗。 (Pún-tsînn tsin tshoo.)","1. 不是很精緻的菜餚
2. 我的皮膚粗粗的，一點也不光滑。
3. 小孩子說話不可以那麼粗俗。
4. 本錢雄厚。","1. 7715-1-1
2. 7715-2-1
3. 7715-3-1
4. 7715-4-1",,"1. 幼
2. 幼/滑溜/光生",,"1. 幼
2. 幼
3. 文雅"
7716,主詞目,紩(替),thīnn,縫紉洗熨,7716(1),,,,,,,,,,,1. (動詞) 縫紉、縫合。,1. 動詞,"1. 衫裂去，愛緊紩紩咧。 (Sann li̍h--khì, ài kín thīnn-thīnn--leh.)
2. 紩衫 (thīnn-sann)","1. 衣服裂開來了，要趕快縫一縫。
2. 縫衣服","1. 7716-1-1
2. 7716-1-2",1. 縫,,,
7717,主詞目,紬,thiu,縫紉洗熨,7717(1),,,,,,,,,,,1. (名詞) 在衣襟上方的外緣部分，另外再縫製、裝飾的一道邊。,1. 名詞,1. 牽紬 (khan-thiu),1. 縫合衣服的布緣,1. 7717-1-1,,,,
7718,主詞目,紮,tsah(白),,7718(1),,,,,,,,,,,1. (動詞) 攜帶。,1. 動詞,"1. 身軀無紮錢。 (Sin-khu bô tsah tsînn.)
2. 欲落雨矣，出門愛紮雨傘。 (Beh lo̍h-hōo--ah, tshut-mn̂g ài tsah hōo-suànn.)
3. 紮便當 (tsah piān-tong)","1. 身上沒帶錢。
2. 快下雨了，出門要帶雨傘。
3. 帶便當","1. 7718-1-1
2. 7718-1-2
3. 7718-1-3",1. 帶,,,
7719,主詞目,紮,tsat(文),,7719(1),,,,,,,,,,,1. (動詞) 用布料將物體纏束起來。,1. 動詞,1. 紮跤紮仔 (tsat kha-tsat-á),1. 打綁腿,1. 7719-1-1,,,,
7720,主詞目,細,sè/suè,性質、程度,7720(1),,,,"鹿港偏泉腔：suè
三峽偏泉腔：serè
臺北偏泉腔：suè
宜蘭偏漳腔：sè
臺南混合腔：sè
高雄混合腔：sè
金門偏泉腔：suè
馬公偏泉腔：suè
新竹偏泉腔：suè
臺中偏漳腔：sè",,,,,,,"1. (形容詞) 小。
2. (形容詞) 音量小。
3. (名詞) 幼。形容地位或階級較低。
4. (名詞) 小老婆，特指妾。","1. 形容詞
2. 形容詞
3. 名詞
4. 名詞","1-1. 細粒柑仔 (sè lia̍p kam-á)
1-2. 細漢囡仔 (sè-hàn gín-á)
1-3. 細條巷仔 (sè tiâu hāng-á)
2. 講話較細聲咧。 (Kóng-uē khah sè-siann--leh.)
3. 無大無細。 (Bô-tuā-bô-sè.)
4. 伊嫁人做細的。 (I kè lâng tsò sè--ê.)","1-1. 小顆橘子
1-2. 小孩子、小朋友
1-3. 小巷子
2. 說話聲音小一點。
3. 忽略了長幼尊卑的地位區別。也就是目無尊長的意思。
4. 他嫁人做妾。","1-1. 7720-1-1
1-2. 7720-1-2
1-3. 7720-1-3
2. 7720-2-1
3. 7720-3-1
4. 7720-4-1",1. 幼,,1. 小,1. 大
7721,主詞目,紲(替),suà,,7721(1),,,,,,,,紲,,,1. (動詞) 接、續。,1. 動詞,"1. 你先去食飯，賰的工課我紲落去做就好。 (Lí sing khì tsia̍h-pn̄g, tshun ê khang-khuè guá suà-lo̍h-khì tsò tō hó.)",1. 你先去吃飯，剩下的工作我接著做就好。,1. 7721-1-1,1. 繼續,,,
7722,主詞目,紺,khóng,顏色、氣味,7722(1),,,,,,,,,,,1. (名詞) 藍色。源自日語「紺（こん）」。,1. 名詞,1. 紺色 (khóng-sik),1. 深藍色,1. 7722-1-1,1. 紺色/藍,,,
7723,主詞目,絃,hiân,戲劇、音樂,7723(1),,,,,,,,,,,1. (名詞) 樂器上的絲線，可彈奏發出聲音。,1. 名詞,1. 琴絃 (khîm-hiân),1. 琴絃,1. 7723-1-1,,,,
7724,主詞目,組,tsoo,數詞、量詞,7724(1),,,,,,,,,,,"1. (名詞) 由兩人以上結合而成的小團體。
2. (量詞) 計算成套物品的單位。","1. 名詞
2. 量詞","1. 兩人一組。 (Nn̄g lâng tsi̍t tsoo.)
2. 伊想欲買一組膨椅。 (I siūnn-beh bé tsi̍t tsoo phòng-í.)","1. 兩人一組。
2. 他想要買一套沙發。","1. 7724-1-1
2. 7724-2-1",,,,
7725,主詞目,絆,puànn(白),,7725(1),,,,,,,,,,,1. (動詞) 行動時，被東西給纏住或擋住。,1. 動詞,1. 纏絆 (tînn-puànn),1. 纏住牽絆,1. 7725-1-1,,,,
7726,主詞目,缽,puah(白),飲食物具,7726(1),,,,,,,,,,,1. (名詞) 泛指可盛酒、裝東西或洗滌東西的圓形金屬或陶瓷用具。,1. 名詞,1. 研缽 (gíng-puah),1. 研磨藥材用的缽,1. 7726-1-1,1. 碗,,,
7727,主詞目,羞(替),tshiu,,7727(1),"[{""漢字"": ""羞"", ""羅馬字"": ""siu""}]",,,,,,,,,,1. (動詞) 以食指劃臉頰來取笑別人，使別人難為情。,1. 動詞,1. 羞！羞！羞！袂見笑！ (Tshiu! Tshiu! Tshiu! Bē-kiàn-siàu!),1. 羞！羞！羞！不要臉！,1. 7727-1-1,,,,
7728,主詞目,統一,thóng-it,一般動詞-行為動詞,7728(1),,,,,,,,,,,1. (動詞) 使零散、分離的事務統合為一體。,1. 動詞,,,,,,,1. 分離
7729,主詞目,粗人,tshoo-lâng,泛稱,7729(1),,,,,,,,粗人,,,1. (名詞) 力氣大而舉止不文雅的人。,1. 名詞,,,,,,,
7730,主詞目,粗工,tshoo-kang,相關用語,7730(1),,,,,,,,,,,1. (名詞) 粗活。笨重費力的工作。,1. 名詞,1. 這粗工毋是你這款幼秀的人會當做的。 (Tse tshoo-kang m̄ sī lí tsit khuán iù-siù ê lâng ē-tàng tsò--ê.),1. 這粗重的工作，不是你這樣秀氣的人可以做的。,1. 7730-1-1,,1. 幼工,,
7731,主詞目,紳士,sin-sū,泛稱,7731(1),,,,,,,,,,,1. (名詞) 泛指地方上有聲望的人，或是舉止斯文有禮的人。,1. 名詞,,,,,1. 淑女,,
7732,主詞目,紹介,siāu-kài,,7732(1),,,,,,,,,介紹,,1. (動詞) 幫人居間引進。源自日語「紹介（しょうかい）」。,1. 動詞,1. 到時陣愛麻煩你共我紹介予恁頭家。 (Kàu sî-tsūn ài mâ-huân lí kā guá siāu-kài hōo lín thâu-ke.),1. 到時候要麻煩你把我介紹給你的老闆。,1. 7732-1-1,,,,
7733,主詞目,紲手,suà-tshiú,肢體動作,7733(1),,,,,,,,紲手,,,1. (副詞) 順手、隨手。,1. 副詞,"1. 你若欲出去，門紲手關起來。 (Lí nā beh tshut--khì, mn̂g suà-tshiú kuainn--khí-lâi.)",1. 你如果要出去，門順手關上。,1. 7733-1-1,1. 順手/綴手,,,
7734,主詞目,粒仔,lia̍p-á,傷疾病痛,7734(1),,,,,,,,,,,"1. (名詞) 皮膚病。由葡萄球菌或鏈狀菌侵入毛囊內所引起的。症狀是局部出現充血硬塊、化膿、紅腫、疼痛，嚴重時全身會發熱而且感覺疲倦。
2. (名詞) 膿瘡。","1. 名詞
2. 名詞",,,,,,,
7735,主詞目,絃仔,hiân-á,戲劇、音樂,7735(1),,,,,,,,絃仔,,,1. (名詞) 胡琴。樂器名。中國拉弦樂器的總稱。,1. 名詞,,,,,,,
7736,主詞目,粗布,tshoo-pòo,衣帽鞋襪,7736(1),,,,,,,,,,,1. (名詞) 不精緻、粗俗的布料。,1. 名詞,,,,,,,
7737,主詞目,紮布,tsah-pòo,生活用品,7737(1),,,,,,,,,,,1. (名詞) 早期女性用的衛生棉，為一塊黑色的月經布。,1. 名詞,,,,,,,
7738,主詞目,粗用,tshoo-īng,,7738(1),,,,,,,,,,,1. (動詞) 日常所用。,1. 動詞,"1. 我請你買的物件是欲粗用的爾爾，免買傷好。 (Guá tshiánn lí bé ê mi̍h-kiānn sī beh tshoo-īng--ê niā-niā, bián bé siunn hó.)",1. 我請你買的東西只是平常要用的而已，別買太好的。,1. 7738-1-1,,,,
7739,主詞目,細囝,sè-kiánn/suè-kiánn,,7739(1),,,,,,,,細囝,,,"1. (名詞) 嬰兒、幼兒。
2. (名詞) 指最小的兒子。","1. 名詞
2. 名詞",,,,,,,
7740,主詞目,組合,tsoo-ha̍p,一般動詞-行為動詞,7740(1),,,,,,,,,,,1. (動詞) 將個別零件組織成一個整體。,1. 動詞,,,,,,,
7741,主詞目,紺色,khóng-sik,顏色、氣味,7741(1),,,,,,,,,,,1. (名詞) 深藍色、蔚藍色。源自日語。,1. 名詞,,,,1. 紺,,,
7742,主詞目,細位,sè-uī/suè-uī,"空間方位,地位、身世、背景",7742(1),,,,,,,,,,,1. (名詞) 下座、末席。給地位低下或輩份低者的座位。,1. 名詞,"1. 你愛坐大位，我坐細位就好。 (Lí ài tsē tuā-uī, guá tsē sè-uī tō hó.)",1. 你要坐在主位上，我坐在下座就可。,1. 7742-1-1,,,,
7743,主詞目,終身,tsiong-sin,生養老死,7743(1),,,,,,,,,,,1. (名詞) 一輩子、一生。,1. 名詞,1. 終身大事 (tsiong-sin tāi-sū),1. 終身大事,1. 7743-1-1,,,,
7744,主詞目,細叔,sè-tsik/suè-tsik,"宗族、家庭,稱謂輩分",7744(1),,,,,,,,,小叔/小叔仔,,1. (名詞) 小叔。稱謂。稱呼丈夫的弟弟。,1. 名詞,,,,1. 小叔,,,
7745,主詞目,粗坯,tshoo-phue/tshoo-phe,事、物泛稱,7745(1),,,,,,,,粗坯,,,1. (名詞) 毛坯、坯料 。已具備雛形，尚需加工製造的半成品。,1. 名詞,,,,,,,
7746,主詞目,紲拍,suà-phah,,7746(1),,,,,,,,紲拍/紲拍/紲拍,,,1. (形容詞) 指表現順利或說話流利的樣子。,1. 形容詞,1. 話講了袂紲拍。 (Uē kóng liáu bē suà-phah.),1. 話說得不流利。,1. 7746-1-1,1. 滑溜,,,
7747,主詞目,粗俗,tshoo-sio̍k,性質、程度,7747(1),,,,,,,,,,,1. (形容詞) 粗糙通俗、便宜的。,1. 形容詞,1. 這是粗俗物件毋值幾仙錢啦！ (Tse sī tshoo-sio̍k mi̍h-kiānn m̄-ta̍t kuí sián tsînn--lah!),1. 這是便宜的東西值不了多少錢啦！,1. 7747-1-1,,1. 貴參參,,
7748,主詞目,粗勇,tshoo-ióng,,7748(1),,,,,,,,,,,"1. (形容詞) 粗壯。形容人體格粗大健壯。
2. (形容詞) 指東西結實，強韌耐用。","1. 形容詞
2. 形容詞","1. 阮阿叔的漢草真粗勇。 (Guán a-tsik ê hàn-tsháu tsin tshoo-ióng.)
2. 這款索仔較粗勇。 (Tsit khuán soh-á khah tshoo-ióng.)","1. 我叔叔的體格很粗壯。
2. 這種繩子比較結實耐用。","1. 7748-1-1
2. 7748-2-1",1. 勇壯,,,
7749,主詞目,粗俗物仔,tshoo-sio̍k-mih-á,"商業,性質、程度,事、物泛稱",7749(1),,,,,,,,,,,1. (名詞) 便宜貨。廉價而粗糙的東西。,1. 名詞,"1. 這種粗俗物仔，買來粗用就好。 (Tsit tsióng tshoo-sio̍k-mih-á, bé-lâi tshoo-īng tō hó.)",1. 這種便宜貨，買回來當普通用就可以。,1. 7749-1-1,1. 粗俗貨,,,
7750,主詞目,粗俗貨,tshoo-sio̍k-huè/tshoo-sio̍k-hè,事、物泛稱,7750(1),,,,,,,,,,,1. (名詞) 便宜貨。品質不高、不精細，價值又不貴的貨品。,1. 名詞,,,,1. 粗俗物仔,,1. 俗仔貨/俗物仔,1. 貴重物
7751,主詞目,細姨,sè-î/suè-î,"泛稱,宗族、家庭,性別、婚姻",7751(1),,,,,,,,,,,1. (名詞) 小老婆、姨太太。太太以外的小妾。,1. 名詞,1. 伊毋願做人的細姨。 (I m̄-guān tsò lâng ê sè-î.),1. 他不願意當人家的小老婆。,1. 7751-1-1,1. 如夫人/妾,,,
7752,主詞目,粗穿,tshoo-tshīng,衣帽鞋襪,7752(1),,,,,,,,,,,1. (形容詞) 居家做家事時穿著。,1. 形容詞,1. 遮的舊衫留咧粗穿。 (Tsia-ê kū sann lâu leh tshoo-tshīng.),1. 這些舊衣服留著當居家工作服。,1. 7752-1-1,,,,
7753,主詞目,粗重,tshoo-tāng,性質、程度,7753(1),,,,,,,,,,,"1. (形容詞) 形容大而笨重的東西。
2. (形容詞) 形容耗費體力。","1. 形容詞
2. 形容詞","1. 遮的柴料真粗重。 (Tsia-ê tshâ-liāu tsin tshoo-tāng.)
2. 這馬粗重的工課攏用機械咧做。 (Tsit-má tshoo-tāng ê khang-khuè lóng īng ki-hāi teh tsò.)","1. 這些木材很重。
2. 現在粗重的工作都用機械在做。","1. 7753-1-1
2. 7753-2-1",,,,
7754,主詞目,紩衫,thīnn-sann,縫紉洗熨,7754(1),,,,,,,,,,,1. (動詞) 縫衣服。,1. 動詞,"1. 紩衫雖罔是簡單的代誌，無學嘛是袂曉。 (Thīnn-sann sui-bóng sī kán-tan ê tāi-tsì, bô o̍h mā sī bē-hiáu.)",1. 縫衣服雖說是簡單的事，但沒學還是不會。,1. 7754-1-1,1. 縫衫,,,
7755,主詞目,統計,thóng-kè,"教育、學術,財務單位、活動",7755(1),,,,,,,,,,,"1. (動詞) 總括計算。
2. (名詞) 收集同一範圍內的事物，用數學的方式整理計算，以觀察全體的情形。","1. 動詞
2. 名詞",,,,,,,
7756,主詞目,粗紙,tshoo-tsuá,生活用品,7756(1),,,,,,,,,,,1. (名詞) 舊時的衛生紙，多用稻草製成，質地粗糙，現已不再使用。,1. 名詞,,,,,,,
7757,主詞目,粗桶,tshoo-tháng,生活用品,7757(1),,,,,,,,,,,1. (名詞) 馬桶、尿桶。用來通稱裝屎尿的桶子。,1. 名詞,,,,1. 尿桶/屎桶,,1. 屎桶仔,
7758,主詞目,粗瓷,tshoo-huî,資源礦物,7758(1),,,,,,,,,,,1. (名詞) 陶器，等級低的瓷器。,1. 名詞,1. 粗瓷耐礙 (tshoo-huî nāi gāi),1. 陶器耐用,1. 7758-1-1,,,,
7759,主詞目,粕粕,phoh-phoh,"植物形體、狀態,形貌、體積",7759(1),,,,,,,,,,,1. (形容詞) 又乾又鬆、不好的口感，如同失去水分的食物殘渣。,1. 形容詞,"1. 你買的柑仔粕粕無湯，足歹食。 (Lí bé ê kam-á phoh-phoh bô thng, tsiok pháinn-tsia̍h.)",1. 你買的橘子乾乾鬆鬆的沒有湯汁，真難吃。,1. 7759-1-1,,,,
7760,主詞目,細粒子,sè-lia̍p-tsí/suè-lia̍p-tsí,體態樣貌,7760(1),,,,,,,,細粒子,,,1. (形容詞) 形容身材嬌小。,1. 形容詞,"1. 伊人生做細粒子，毋過力頭閣真飽。 (I lâng senn-tsò sè-lia̍p-tsí, m̄-koh la̍t-thâu koh tsin pá.)",1. 他的個子雖嬌小，但力氣卻很大。,1. 7760-1-1,,1. 人懸漢大/大箍把/四壯,,
7761,主詞目,紲喙,suà-tshuì,飲食行為,7761(1),,,,,,,,紲喙,,,"1. (形容詞) 合口味。形容東西合胃口、好吃，一口接一口，愈吃愈想吃。
2. (形容詞) 順口、搭腔。形容接人家的話接得很順口。","1. 形容詞
2. 形容詞","1. 這鰇魚仔絲是愈食愈紲喙。 (Tse jiû-hî-á-si sī jú tsia̍h jú suà-tshuì.)
2. 你閣講甲真紲喙喔！ (Lí koh kóng kah tsin suà-tshuì--ooh!)","1. 這魷魚絲是愈吃愈好吃。
2. 你還講得很順口喔！通常用在指人說謊、圓謊時。","1. 7761-1-1
2. 7761-2-1",2. 紲話,,,
7762,主詞目,紲喙尾,suà-tshuì-bué/suà-tshuì-bé,飲食行為,7762(1),,,,,,,,,,,"1. (動詞) 後續甜食，通常指正食之後的甜點。
2. (動詞) 接續話題。","1. 動詞
2. 動詞","1. 食鹹的了後，換食甜的紲喙尾。 (Tsia̍h kiâm--ê liáu-āu, uānn tsia̍h tinn--ê suà-tshuì-bué.)",1. 吃了鹹的後，改吃甜的換口味。,1. 7762-1-1,2. 承,,,
7763,主詞目,細菌,sè-khún/suè-khún,其他動物,7763(1),,,,,,,,,菌/菌種,,1. (名詞) 單細胞的微生物，以分裂法繁殖，多靠寄生或腐生方法生活，遍布於土壤、水、空氣、有機物質或生物體內和體表。有些細菌會引起嚴重的疾病，如霍亂、破傷風等，有些則對人類有益處。,1. 名詞,,,,,,,
7764,主詞目,粗菜便飯,tshoo-tshài piān-pn̄g,食物、飲料、煙酒,7764(1),,,,,,,,,,,1. (熟語) 家常便飯、粗茶淡飯。多為請客時自謙的說法。,1. 熟語,"1. 攏是一寡粗菜便飯，你毋通棄嫌。 (Lóng sī tsi̍t-kuá tshoo-tshài piān-pn̄g, lí m̄-thang khì-hiâm.)",1. 都是一些家常便飯，請勿嫌棄。,1. 7764-1-1,,1. 魚魚肉肉,,
7765,主詞目,紲落去,suà--lo̍h-khì,連詞、介詞,7765(1),,,,,,,,紲落去,,,1. (連詞) 接下去。接下來。,1. 連詞,"1. 代誌已經按呢生矣，紲落去欲按怎咧？ (Tāi-tsì í-king án-ne-senn--ah, suà--lo̍h-khì beh án-tsuánn--leh?)",1. 事情已到這個地步了，接下來要怎麼做呢？,1. 7765-1-1,1. 後來,,,
7766,主詞目,粗飽,tshoo-pá,飲食行為,7766(1),,,,,,,,,,,1. (形容詞) 只是吃飽而不講究飲食的精緻度。,1. 形容詞,"1. 路邊擔仔食粗飽好，若欲講究愛去大飯店食。 (Lōo-pinn-tànn-á tsia̍h tshoo-pá hó, nā beh káng-kiù ài khì tuā-pn̄g-tiàm tsia̍h.)",1. 路邊攤填飽肚子可以，若真要講究要去大飯店吃。,1. 7766-1-1,,,,
7767,主詞目,習慣,si̍p-kuàn,生活狀況,7767(1),,,,,,,,,慣勢,,"1. (動詞) 逐漸適應。
2. (名詞) 長時間養成，不容易改變的行為模式或地方風尚。","1. 動詞
2. 名詞","1. 我已經習慣這款生活。 (Guá í-king si̍p-kuàn tsit khuán sing-ua̍h.)
2. 歹習慣 (pháinn si̍p-kuàn)","1. 我已經習慣這種生活。
2. 壞習慣","1. 7767-1-1
2. 7767-2-1",,,,
7768,主詞目,細漢,sè-hàn/suè-hàn,,7768(1),,,,,,,,,,,"1. (形容詞) 身材矮小。
2. (形容詞) 年齡較小的。
3. (形容詞) 輩份排行在後的。","1. 形容詞
2. 形容詞
3. 形容詞","1. 伊生做較細漢。 (I senn-tsò khah sè-hàn.)
2-1. 伊猶細漢。 (I iáu sè-hàn.)
2-2. 細漢囡仔 (sè-hàn gín-á)
2-3. 細漢的時陣 (sè-hàn ê sî-tsūn)
3. 細漢囝 (sè-hàn-kiánn)","1. 他的身材矮小了點。
2-1. 他年紀還小。
2-2. 小孩子
2-3. 小時候
3. 排行最小的孩子","1. 7768-1-1
2-1. 7768-2-1
2-2. 7768-2-2
2-3. 7768-2-3
3. 7768-3-1",,"1. 大漢/四壯
3. 大漢",,
7769,主詞目,粗魯,tshoo-lóo,個性風格,7769(1),,,,,,,,,,,1. (形容詞) 粗暴魯莽。,1. 形容詞,"1. 我較粗魯，紙雕這款幼路的工課我做袂來。 (Guá khah tshoo-lóo, tsuá-tiau tsit khuán iù-lōo ê khang-khuè guá tsò bē lâi.)",1. 我比較粗魯，紙雕這種精細的工作我做不來。,1. 7769-1-1,,1. 文雅/幼秀/斯文/雅氣,,
7770,主詞目,粒積,lia̍p-tsik,"錢財資產,財務單位、活動",7770(1),,,,,,,,,,,1. (動詞) 儲蓄。聚積儲存。,1. 動詞,"1. 三代粒積，一代開空。 (Sann tāi lia̍p-tsik, tsi̍t tāi khai-khong.)",1. 聚積了三代的財富，卻被後代不孝子孫短時間內揮霍殆盡。,1. 7770-1-1,1. 積,,,
7771,主詞目,累積,luí-tsik,性質、程度,7771(1),,,,,,,,,,,1. (動詞) 層積聚集。,1. 動詞,,,,1. 積,,,
7772,主詞目,細膩,sè-jī/suè-lī,,7772(1),,,,,,,,,,,"1. (形容詞) 做事小心謹慎。
2. (形容詞) 客氣。","1. 形容詞
2. 形容詞","1. 你做代誌愛較細膩咧。 (Lí tsò tāi-tsì ài khah sè-jī--leh.)
2. 今仔日這頓我請，愛食啥做你點，毋通細膩。 (Kin-á-ji̍t tsit tǹg guá tshiánn, ài tsia̍h siannh tsò lí tiám, m̄-thang sè-jī.)","1. 你做事要小心謹慎點。
2. 今天這餐我請客，想吃什麼儘管點，不要客氣。","1. 7772-1-1
2. 7772-2-1","1. 小心/注意/謹慎/精傱/點陳
2. 客氣","1. 生狂/無細膩/趕狂
2. 無細膩",,1. 生猴
7773,主詞目,紹興酒,siāu-hing-tsiú,食物、飲料、煙酒,7773(1),"[{""漢字"": ""紹興酒"", ""羅馬字"": ""siāu-hin-tsiú""}]",,,,,,,,,,1. (名詞) 產於浙江紹興縣的黃酒，有糯米製和黃米製兩種。新製的酒辛烈無香味，貯藏數月後，則變成芳香醇美。陳年紹興酒是經過五年的儲藏，風味更香醇。,1. 名詞,,,,1. 黃酒,,,
7774,主詞目,紮錢,tsah tsînn,財務單位、活動,7774(1),,,,,,,,,,,1. (動詞) 帶錢。隨身攜帶錢財。,1. 動詞,1. 出門愛紮錢。 (Tshut-mn̂g ài tsah tsînn.),1. 出門要帶錢。,1. 7774-1-1,,,,
7775,主詞目,組頭,tsoo-thâu,休閒、娛樂,7775(1),,,,,,,,,組仔頭,,1. (名詞) 民間賭博活動「六合彩」的莊家，賭眾向他下注，開出號碼後再以事先約好的倍數賠給中獎者。,1. 名詞,,,,,,,
