詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名,又唸作,合音唸作,俗唸作,語音差異,詞彙比較,名,姓,異用字,詞目tuì詞目近義,詞目tuì詞目反義,解說,詞性,例句,例句-華語,例句-音檔,義項tuì義項近義,義項tuì義項反義,義項tuì詞目近義,義項tuì詞目反義
4312,主詞目,泡(替),pho,事、物泛稱,4312(1),,,,,,,,,,,"1. (名詞) 在水面上漂浮的球狀或半球形氣體。
2. (名詞) 唾液、口沫。","1. 名詞
2. 名詞","1. 雪文泡 (sap-bûn pho)
2. 講甲喙角專泡 (kóng kah tshuì-kak tsuan pho)","1. 肥皂泡
2. 說得口沫橫飛","1. 4312-1-1
2. 4312-2-1",1. 沫,,,
4313,主詞目,泡,phò(白),性質、程度,4313(1),,,,,,,,,,,1. (形容詞) 東西吃起來有鬆軟或鬆脆的口感。,1. 形容詞,"1. 泡泡 (phò-phò)
2. 泡粿 (phò-kué)","1. 鬆軟或鬆脆的口感
2. 一種粿名","1. 4313-1-1
2. 4313-1-2",,,,
4314,主詞目,波,pho,自然現象,4314(1),,,,,,,,,,,"1. (名詞) 水面起伏的部分。
2. (名詞) 物理學中彈性振動的起伏現象。","1. 名詞
2. 名詞","1. 海波浪 (hái-pho-lōng)
2. 聲波 (siann-pho)","1. 海浪
2. 聲波","1. 4314-1-1
2. 4314-2-1",,,,
4315,主詞目,注,tsù(文),一般動詞-行為動詞,4315(1),,,,,,,,,,,"1. (動詞) 灌入。
2. (動詞) 標明、標示。","1. 動詞
2. 動詞","1. 注射 (tsù-siā)
2. 注音 (tsù-im)","1. 注射藥物
2. 注音","1. 4315-1-1
2. 4315-2-1",,,2. 標示/標明,
4316,主詞目,注,tù(白),"休閒、娛樂,財務單位、活動,數詞、量詞",4316(1),,,,,,,,,,,"1. (名詞) 賭注。
2. (量詞) 計算金錢的單位。","1. 名詞
2. 量詞","1. 落注 (lo̍h-tù)
2. 一注錢 (tsi̍t tù tsînn)","1. 下注
2. 一筆錢","1. 4316-1-1
2. 4316-2-1",,,,
4317,主詞目,炊,tshue/tshe,飲食行為,4317(1),,,,"鹿港偏泉腔：tsher
三峽偏泉腔：tsher
臺北偏泉腔：tshe
宜蘭偏漳腔：tshue
臺南混合腔：tshue
高雄混合腔：tshue
金門偏泉腔：tsher
馬公偏泉腔：tshe
新竹偏泉腔：tsher,tshe
臺中偏漳腔：tshue",,,,,,,1. (動詞) 以隔水加熱的方法把食物蒸熟。,1. 動詞,"1. 炊便當 (tshue piān-tong)
2. 炊粿 (tshue-kué)","1. 蒸便當
2. 蒸糕點","1. 4317-1-1
2. 4317-1-2",,,,
4318,主詞目,炎,iām,"自然現象,傷疾病痛,性質、程度",4318(1),,,,,,,,,,,"1. (形容詞) 形容火勢或陽光猛烈。
2. (名詞) 全身或局部因感染而產生發紅、腫脹或疼痛等症狀。","1. 形容詞
2. 名詞","1-1. 火真炎 (hué tsin iām)
1-2. 日頭足炎 (ji̍t-thâu tsiok iām)
2-1. 發炎 (huat-iām)
2-2. 關節炎 (kuan-tsat-iām)","1-1. 火很旺
1-2. 太陽很大
2-1. 發炎
2-2. 關節炎","1-1. 4318-1-1
1-2. 4318-1-2
2-1. 4318-2-1
2-2. 4318-2-2",1. 旺/猛,,,
4319,主詞目,炒,tshá,飲食行為,4319(1),"[{""漢字"": ""炒"", ""羅馬字"": ""tsháu""}]",,,,,,,,,,1. (動詞) 一種烹飪方法。以少量的油為底，把食物放在鍋子裡，翻攪到熟了為止。,1. 動詞,"1. 炒菜 (tshá tshài)
2. 炒麵 (tshá mī)","1. 炒菜
2. 炒麵","1. 4319-1-1
2. 4319-1-2",,,,
4320,主詞目,炕(替),khòng,飲食行為,4320(1),,,,,,,,炕,,,1. (動詞) 用慢火久煮。,1. 動詞,"1. 炕白菜 (khòng pe̍h-tshài)
2. 炕塗窯 (khòng thôo-iô)","1. 滷白菜
2. 窯燒番薯","1. 4320-1-1
2. 4320-1-2",,,,
4321,主詞目,爬,pê,肢體動作,4321(1),,,,,,,,,,,1. (動詞) 昆蟲、爬蟲類動物等往前移動；或人用手足伏地行走。,1. 動詞,"1. 囡仔學爬 (gín-á o̍h pê)
2. 做狗爬 (tsò káu pê)","1. 小孩學爬行
2. 像狗一樣爬行","1. 4321-1-1
2. 4321-1-2",,,,
